Topic,Name,Hours,Victor Manon,Juan Alvarado,Roberto Leyva,Mauricio Paletta,Yerly Flores,Jaime Lopez,Jorge Rodriguez,Jose Aguilera,Luis Guadarrama,Pedro Hernandez,Maria Mirafuentes,Roberto Vera,Octavio Silva,Fernando Ruiz,Ivan Olmos,Israel Tabarez
1,Public Transformation,4,,,,,,,X,,,,,,,,,
2,Intelligence,8,,,,X,,,,,,,,,,,,
3,Algorithmic Thinking and Decision Making,6,X,X,X,X,,,,,,,,X,,,,
4,Basic Programming Principles for Social Sciences,8,,,,,,,X,,,,,,,,,
5,The Great Thinkers of Artificial Intelligence,24,,,X,X,,,,,,,,,,,,
6,Technologies That Are Changing All Aspects of the Industry,6,,,,,,,X,,,,,,X,,,
7,Generation of Public Entrepreneurship Proposals with Technology,4,,,,,,,X,,,,,,X,,,
