Topic,Name,Hours,Victor Manon,Juan Alvarado,Roberto Leyva,Mauricio Paletta,Yerly Flores,Jaime Lopez,Jorge Rodriguez,Jose Aguilera,Luis Guadarrama,Pedro Hernandez,Maria Mirafuentes,Roberto Vera,Octavio Silva,Fernando Ruiz,Ivan Olmos,Israel Tabarez
1,Agile Methodologies in Software Development,4,,X,,,,,,,X,,X,,,,,
2,Analysis and Design of Software,50,X,X,X,X,,,,X,X,X,,,,,,
3,Quality in Software,8,,X,,,,,,,X,,,,,,,
4,Software Deployment,4,,X,,,,,,,X,,,,,,,
5,WEB Development,30,X,,,,,,,,,,,X,,,,
6,Transactional System,30,X,X,X,X,,,,X,,X,,,,,,
7,Decision Making Process,4,,X,,X,,,,,X,,X,,,,,
8,Video Game Development Process,30,,,X,,,,,,,,,,,,,
