Topic,Name,Hours,Victor Manon,Juan Alvarado,Roberto Leyva,Mauricio Paletta,Yerly Flores,Jaime Lopez,Jorge Rodriguez,Jose Aguilera,Luis Guadarrama,Pedro Hernandez,Maria Mirafuentes,Roberto Vera,Octavio Silva,Fernando Ruiz,Ivan Olmos,Israel Tabarez
1,Processes for the Development of Commercial Software,12,,X,,,,,,,X,,,,,,,
2,Vision of International Standards for Software Development,24,,X,,,,,,,,,,,X,,,
3,Initial Management of Software Development Projects,24,,X,,,,,,,X,,X,,,,,
4,Software Requirements,30,,X,,,,,,,X,,X,,,,,
5,Quality of Software in Early Stages,30,,X,,,,,,,X,,X,,,,,
