Topic,Name,Hours,Victor Manon,Juan Alvarado,Roberto Leyva,Mauricio Paletta,Yerly Flores,Jaime Lopez,Jorge Rodriguez,Jose Aguilera,Luis Guadarrama,Pedro Hernandez,Maria Mirafuentes,Roberto Vera,Octavio Silva,Fernando Ruiz,Ivan Olmos,Israel Tabarez
1,Concepts for Network Interconnection,10,X,X,X,X,X,,,,,,,,,,,
2,Wide Area Network Concepts,16,X,X,X,X,X,,,,,,,,,,,
3,Emerging Technologies for Distributed Systems in Wide Area Networks,34,,,X,,,,,,,,,,,,,
4,Design and Configuration of Wide Area Networks,60,X,X,X,X,X,,,,,,,,,,,
